City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Zhaotong,CN,2022-09-10 23:11:24,27.3167,103.7167,55.26,94,88,0.02
69,Nantucket,US,2022-09-10 23:11:25,41.2835,-70.0995,75.34,66,0,0.0
70,Punta Arenas,CL,2022-09-10 23:07:17,-53.15,-70.9167,39.31,75,0,6.91
71,Pathein,MM,2022-09-10 23:11:25,16.7833,94.7333,75.78,94,100,3.78
72,Saint Johnsbury,US,2022-09-10 23:11:26,44.4192,-72.0151,74.77,90,25,0.89
73,Ust-Ishim,RU,2022-09-10 23:11:26,57.6935,71.1665,36.59,96,78,3.89
74,Dikson,RU,2022-09-10 23:11:27,73.5069,80.5464,36.32,77,99,8.12
75,Nikolskoye,RU,2022-09-10 23:11:27,59.7035,30.7861,42.69,82,7,3.33
76,Magadan,RU,2022-09-10 23:11:28,59.5667,150.8,52.54,75,1,2.19
77,Norman Wells,CA,2022-09-10 23:11:28,65.282,-126.8329,56.55,51,100,19.13
78,Ushuaia,AR,2022-09-10 23:11:28,-54.8,-68.3,42.46,52,0,2.3
79,Santa Cruz,BO,2022-09-10 23:08:25,-17.8,-63.1667,75.25,29,75,4.61
80,Carnarvon,AU,2022-09-10 23:11:29,-24.8667,113.6333,63.43,62,0,8.12
81,Airai,TL,2022-09-10 23:11:29,-8.9266,125.4092,64.4,54,64,2.1
82,Tacuarembo,UY,2022-09-10 23:08:26,-31.7333,-55.9833,45.84,77,0,3.71
83,Pervomayskoye,RU,2022-09-10 23:11:30,43.919,46.7102,58.35,55,32,9.24
84,Fairlie,GB,2022-09-10 23:11:30,55.756,-4.8556,54.48,89,79,5.59
85,Vila Franca Do Campo,PT,2022-09-10 23:11:31,37.7167,-25.4333,72.01,85,100,14.85
86,Shimoda,JP,2022-09-10 23:11:31,34.6667,138.95,71.1,71,10,18.57
87,Gillette,US,2022-09-10 23:11:24,44.2911,-105.5022,63.81,44,0,9.22
88,Dagda,LV,2022-09-10 23:11:32,56.0951,27.5372,43.47,67,96,7.11
89,Opuwo,NA,2022-09-10 23:11:32,-18.0607,13.84,68.9,28,0,4.03
90,Samarai,PG,2022-09-10 23:11:33,-10.6167,150.6667,80.15,83,18,9.78
91,Joshimath,IN,2022-09-10 23:11:33,30.5667,79.5667,68.22,87,94,1.28
92,Mecca,SA,2022-09-10 23:11:33,21.4267,39.8261,90.07,38,57,3.42
93,Marakkanam,IN,2022-09-10 23:11:34,12.2,79.95,81.25,72,100,9.37
94,Emerald,AU,2022-09-10 23:11:34,-23.5333,148.1667,66.34,53,39,13.71
95,Kalmar,SE,2022-09-10 23:11:35,56.6616,16.3616,56.14,93,20,3.44
96,Zhigansk,RU,2022-09-10 23:11:35,66.7697,123.3711,36.57,86,100,12.28
97,Cape Town,ZA,2022-09-10 23:11:56,-33.9258,18.4232,60.39,87,19,1.99
98,Kudahuvadhoo,MV,2022-09-10 23:12:36,2.6708,72.8944,81.3,77,61,13.35
99,Faanui,PF,2022-09-10 23:12:36,-16.4833,-151.75,78.55,73,4,18.52
100,Avarua,CK,2022-09-10 23:12:36,-21.2078,-159.775,80.65,78,20,18.41
101,Mount Darwin,ZW,2022-09-10 23:12:37,-16.7725,31.5838,58.95,54,0,2.73
102,Porto Novo,BJ,2022-09-10 23:12:37,6.4965,2.6036,76.68,82,97,6.13
103,Port Elizabeth,ZA,2022-09-10 23:10:44,-33.918,25.5701,59.31,93,20,20.71
