,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
151,Nouakchott,MR,78.73,broken clouds,18.0858,-15.9785,HOTEL IMAN
152,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
154,Morondava,MG,73.58,few clouds,-20.2833,44.2833,La Case Bambou
155,Concordia,AR,62.78,clear sky,-31.393,-58.0209,Palmar Hotel Casino
157,Muroto,JP,77.76,scattered clouds,33.2833,134.15,Oota Ryokan
158,Banjar,ID,79.77,overcast clouds,-8.19,114.9675,The Hamsa Resort
159,Kavieng,PG,85.14,broken clouds,-2.5744,150.7967,Nusa Island Retreat
161,Ketchikan,US,61.27,light rain,55.3422,-131.6461,Snow's Cove Lodge
163,Vaitape,PF,78.13,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
164,Kathu,TH,86.76,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
165,Muisne,EC,73.92,overcast clouds,0.6,-80.0333,Quinta Samay
166,Katsuura,JP,75.22,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
167,Da Nang,VN,80.58,heavy intensity rain,16.0678,108.2208,Grand Mercure Danang
168,Honiara,SB,85.57,moderate rain,-9.4333,159.95,Heritage Park Hotel
170,Pingshan,CN,81.32,broken clouds,22.9938,114.7131,Island Skylight Resort
172,Shingu,JP,76.95,scattered clouds,33.7333,135.9833,Shingu UI Hotel
173,Srandakan,ID,77.52,overcast clouds,-7.9386,110.2506,Puri Brata
174,Coari,BR,87.04,broken clouds,-4.085,-63.1414,Dellrey Hotel Center
175,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
178,Terrace,CA,62.51,overcast clouds,54.5163,-128.6035,Northern Motor Inn
179,Sterling,US,68.79,scattered clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
180,Tamandare,BR,74.14,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
181,Mombetsu,JP,69.82,few clouds,44.3525,143.3525,Okhotsk Palace Hotel
184,Whitehorse,CA,61.57,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
186,Kieta,PG,84.9,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
191,Corvallis,US,89.1,clear sky,44.5646,-123.262,Hilton Garden Inn Corvallis
192,Green River,US,79.2,clear sky,41.5286,-109.4662,Hampton Inn & Suites Green River
193,Dzidzantun,MX,78.93,scattered clouds,21.25,-89.05,Hacienda San Francisco Tzacalha
195,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
196,Alpinopolis,BR,71.02,overcast clouds,-20.8636,-46.3881,Hotel Ventania
198,Korla,CN,65.28,clear sky,41.7597,86.1469,Gulisitan Hotel
199,Kalmunai,LK,77.58,broken clouds,7.4167,81.8167,VS Villa
200,Victoria,HK,85.32,broken clouds,22.2855,114.1577,Mini Central
201,Natal,BR,80.82,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
202,Port Hardy,CA,66.38,scattered clouds,50.6996,-127.4199,Airport Inn-Port Hardy
205,Mount Isa,AU,83.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
206,Matamoros,MX,84.31,broken clouds,25.5333,-103.25,Quinta Belem
207,Ballina,AU,75.78,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
208,Banda Aceh,ID,78.84,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
209,Anan,JP,76.78,scattered clouds,33.9167,134.65,Royal Garden Hotel
210,Arraial Do Cabo,BR,69.76,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
