,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
562,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
563,Kloulklubed,PW,81.1,light rain,7.0419,134.2556,Storyboard Beach Resort
564,Gemena,CD,69.91,light rain,3.25,19.7667,Hôtel Goshen
567,General Pico,AR,60.91,few clouds,-35.6566,-63.7568,Euskadi Hotel
568,Quang Ngai,VN,73.18,very heavy rain,15.1167,108.8,Central Hotel
570,Kalabo,ZM,73.27,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
572,Masumbwe,TZ,71.37,scattered clouds,-3.6333,32.1833,Ngabanya Logde & Filling Station
575,Asosa,ET,60.66,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
577,Sorong,ID,79.47,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
578,Sri Aman,MY,77.05,few clouds,1.2376,111.4621,Seri Simanggang Hotel
579,Price,US,81.12,clear sky,39.5994,-110.8107,National 9 - Price River Inn
581,Umm Lajj,SA,88.97,clear sky,25.0213,37.2685,Moon light Furnished Units
582,Casper,US,78.73,clear sky,42.8666,-106.3131,Ramkota Hotel
583,Batemans Bay,AU,60.1,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
584,Pacific Grove,US,73.38,broken clouds,36.6177,-121.9166,Lovers Point Inn
585,Iraucuba,BR,76.78,scattered clouds,-3.7461,-39.7833,Hotel Terra da Amizade
586,Sao Lourenco Do Sul,BR,62.29,broken clouds,-31.3653,-51.9783,Hotel Pousada Verde Água
588,Flinders,AU,65.17,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
590,Kahta,TR,70.97,clear sky,37.7855,38.6237,KommageneİZ Hotel
591,Popova,RU,61.48,clear sky,42.9603,131.7228,Baza Otdykha Zvezda
595,Jacareacanga,BR,83.8,broken clouds,-6.2222,-57.7528,Casa do Ian😎
596,Altamont,US,87.78,few clouds,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
597,Tegal,ID,78.98,overcast clouds,-6.8694,109.1402,Riez Palace Hotel
599,Ilhabela,BR,67.33,light rain,-23.7781,-45.3581,Ilha Flat Hotel
601,Chabahar,IR,79.74,broken clouds,25.2919,60.643,هتل گدروشیا
604,Holyoke,US,60.3,scattered clouds,42.2043,-72.6162,"Motel 6 Holyoke, MA"
605,Campobasso,IT,61.41,scattered clouds,41.6333,14.5833,Tre Archi
607,Los Chiles,CR,76.41,light rain,11.0333,-84.7167,Cabinas y Apartamentos Felicia
608,Safford,US,88.72,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
609,Sur,OM,79.75,clear sky,22.5667,59.5289,Sur Plaza Hotel
611,Moranbah,AU,77.68,clear sky,-22.0016,148.0466,Property Vine - Monterey Moranbah
612,Charters Towers,AU,81.0,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
615,Bentiu,SS,74.5,overcast clouds,9.2333,29.8333,Mandela hôtel
617,Pawai,IN,74.84,broken clouds,24.2667,80.1667,J.P Pandey Sachiv
618,Axim,GH,74.75,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
620,Mana,GF,80.44,clear sky,5.6592,-53.7767,LE SAMANA
621,Saint-Joseph,RE,64.78,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
622,Anloga,GH,76.64,overcast clouds,5.7947,0.8973,Pin Drop Hotel
623,Melendugno,IT,72.05,scattered clouds,40.2747,18.3368,Alba Bed & Breakfast Melendugno
625,Novo Aripuana,BR,84.74,broken clouds,-5.1206,-60.3797,Hotel Ezequiel
626,Porto Novo,BJ,73.22,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
628,Kiunga,PG,77.38,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
629,Nouadhibou,MR,75.18,thunderstorm with light rain,20.931,-17.0347,El Medina
630,Takoradi,GH,74.07,overcast clouds,4.8845,-1.7554,Raybow International Hotel
631,Dickinson,US,89.02,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
636,Wanning,CN,76.51,overcast clouds,18.8003,110.3967,Paradise Hotel
637,El Alto,PE,62.26,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
638,Ankpa,NG,70.77,overcast clouds,7.3706,7.6253,AA Suites
640,Naifaru,MV,82.33,scattered clouds,5.4444,73.3657,Naifaru Residence Guest House
641,Linfen,CN,72.03,overcast clouds,36.0889,111.5189,Suoxing Hotel
643,La Orilla,MX,81.63,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
644,Gallup,US,74.16,clear sky,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
645,Katobu,ID,81.5,broken clouds,-4.9408,122.5276,La Ode Husein
646,Yamada,JP,70.18,broken clouds,39.4667,141.95,Iroha-ya Inn
647,Amarwara,IN,68.83,broken clouds,22.3,79.1667,Prasiya Chat Bhandaar Amareara
649,Gizo,SB,83.53,clear sky,-8.103,156.8419,Imagination Island
653,Nola,IT,67.93,scattered clouds,40.922,14.5329,Palazzo Giordano Bruno
654,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Pousada Camboinha
655,Mercedes,AR,63.79,few clouds,-34.6515,-59.4307,Posada del Inti Centro
658,Alirajpur,IN,71.29,few clouds,22.3031,74.3546,Shree Yatindrasuri Indra Bhavan
659,Lazurne,UA,65.44,overcast clouds,46.084,32.5295,New Manna Hostel
660,Placido De Castro,BR,83.66,clear sky,-10.3353,-67.1856,Hotel Carioca
661,Mendoza,AR,65.73,clear sky,-32.8908,-68.8272,Hotel Mendoza
664,General Roca,AR,62.62,clear sky,-39.0333,-67.5833,Hotel El Recreo
665,Kibakwe,TZ,60.33,scattered clouds,-6.7167,36.3667,Muleba guest house
666,Shenjiamen,CN,74.23,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
668,Malakal,SS,73.09,overcast clouds,9.5334,31.6605,Nile Palace Hotel
669,Bubaque,GW,80.64,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
670,Llanes,ES,63.16,overcast clouds,43.4198,-4.7549,Hotel La Paz
671,Kosai,JP,79.5,scattered clouds,34.7105,137.5316,Hotel Route Inn Hamanako
672,Benguela,AO,70.29,broken clouds,-12.5763,13.4055,Hotel Praia Morena
673,Lorengau,PG,85.8,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
674,Conceicao Do Araguaia,BR,81.7,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
676,Snyder,US,82.31,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
677,Puerto Rico,AR,61.41,scattered clouds,-26.796,-55.024,Hotel Cabañas del Prado
679,Amahai,ID,82.27,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
680,Nichinan,JP,78.48,scattered clouds,31.6,131.3667,Guest House Aki
681,Vao,NC,72.93,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
682,Jacqueville,CI,75.79,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
683,Crestview,US,85.24,moderate rain,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
684,Ampanihy,MG,68.81,clear sky,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
685,Bang Saphan,TH,79.02,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
686,Labuhan,ID,82.56,broken clouds,-6.8844,112.2051,DoubleFAG
687,Arica,CL,60.35,overcast clouds,-18.475,-70.3042,Hostal Jardin Del Sol
688,Columbus,US,61.05,broken clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
689,Asyut,EG,86.41,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
692,Neuquen,AR,62.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
693,Bowen,AU,78.17,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
694,Makakilo City,US,86.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
695,Nago,JP,84.63,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
696,Manokwari,ID,83.26,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
697,Byron Bay,AU,75.7,overcast clouds,-28.65,153.6167,Backpackers Inn
698,La Libertad,EC,68.47,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
