,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Punta Arenas,CL,-53.15,-70.9167,41.11,75,0,8.05,clear sky
80,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,76,100,9.4,overcast clouds
81,Yar-Sale,RU,66.8333,70.8333,28.24,88,71,13.04,broken clouds
82,Kavaratti,IN,10.5669,72.642,81.28,73,56,15.39,broken clouds
83,Warmbad,NA,-28.45,18.7333,51.37,64,0,6.87,clear sky
84,Talcahuano,CL,-36.7167,-73.1167,53.28,94,75,1.14,broken clouds
85,Dakar,SN,14.6937,-17.4441,77.88,77,68,17.98,light rain
86,Kodiak,US,57.79,-152.4072,49.51,66,75,4.61,light rain
87,Tiksi,RU,71.6872,128.8694,32.74,89,100,22.75,light snow
88,Sitka,US,57.0531,-135.33,55.29,94,100,10.36,heavy intensity rain
89,Yellowknife,CA,62.456,-114.3525,50.56,66,84,11.99,broken clouds
90,Upernavik,GL,72.7868,-56.1549,34.29,74,35,7.23,scattered clouds
91,Saint Joseph,US,39.7686,-94.8466,68.56,41,11,4.94,few clouds
92,Acapulco,MX,16.8634,-99.8901,84.02,79,40,5.75,scattered clouds
93,Krasnoselkup,RU,65.7,82.4667,25.34,81,26,10.67,scattered clouds
94,Dongsheng,CN,39.8161,109.9776,59.76,41,97,7.65,overcast clouds
95,Nikolskoye,RU,59.7035,30.7861,46.29,92,100,3.04,overcast clouds
96,Fomboni,KM,-12.28,43.7425,76.32,74,5,14.23,clear sky
97,Georgetown,MY,5.4112,100.3354,81.9,84,40,0.0,thunderstorm
98,Chapais,CA,49.7834,-74.8492,53.38,70,96,3.98,overcast clouds
99,Bluff,NZ,-46.6,168.3333,49.8,92,100,2.86,overcast clouds
100,Hithadhoo,MV,-0.6,73.0833,82.11,73,60,15.41,broken clouds
101,Ribeira Grande,PT,38.5167,-28.7,70.81,70,100,13.22,overcast clouds
102,Barrow,US,71.2906,-156.7887,30.22,80,100,13.8,overcast clouds
103,Yakeshi,CN,49.2833,120.7333,45.43,49,63,6.62,broken clouds
104,Stornoway,GB,58.2093,-6.3865,45.93,86,75,13.8,broken clouds
105,Hede,CN,33.7681,120.2517,70.38,61,84,4.56,broken clouds
106,Usak,TR,38.5,29.4167,57.45,20,80,2.26,broken clouds
107,San Fernando,PH,15.0286,120.6898,81.0,83,100,2.71,overcast clouds
108,Klaksvik,FO,62.2266,-6.589,43.72,90,100,39.97,moderate rain
109,Provideniya,RU,64.3833,-173.3,42.91,93,100,8.99,light intensity shower rain
110,Praia Da Vitoria,PT,38.7333,-27.0667,68.25,83,20,14.83,few clouds
111,Ornskoldsvik,SE,63.2909,18.7153,50.95,93,100,10.36,light intensity drizzle
112,Ponta Do Sol,PT,32.6667,-17.1,70.72,68,21,7.92,few clouds
113,Leh,IN,34.1667,77.5833,44.33,54,0,4.25,clear sky
114,Mehamn,NO,71.0357,27.8492,44.51,93,91,9.22,overcast clouds
115,The Pas,CA,53.8251,-101.2541,53.62,54,20,4.61,few clouds
116,Mataura,NZ,-46.1927,168.8643,49.48,80,100,1.97,light rain
117,Bahia Honda,CU,22.9036,-83.1592,75.24,94,100,14.72,moderate rain
118,Porto Seguro,BR,-16.4497,-39.0647,73.09,86,62,1.28,broken clouds
119,Palmer,US,42.1584,-72.3287,61.86,84,40,3.44,scattered clouds
120,Ayabaca,PE,-4.6398,-79.7149,51.58,71,86,2.77,overcast clouds
121,Ostrovnoy,RU,68.0531,39.5131,37.51,81,100,7.16,overcast clouds
122,Nome,US,64.5011,-165.4064,48.27,71,20,11.5,few clouds
123,Dabeiba,CO,7.0017,-76.2672,73.6,100,100,0.63,overcast clouds
124,Hasaki,JP,35.7333,140.8333,79.21,70,0,12.41,clear sky
125,Sao Filipe,CV,14.8961,-24.4956,77.36,76,47,5.91,scattered clouds
126,Cap Malheureux,MU,-19.9842,57.6142,69.48,66,85,4.0,overcast clouds
127,Evensk,RU,61.95,159.2333,40.21,60,21,1.79,few clouds
128,Whittlesea,ZA,-32.1759,26.8244,60.62,83,93,5.86,overcast clouds
129,Port Hueneme,US,34.1478,-119.1951,97.79,66,0,13.8,clear sky
130,Escanaba,US,45.7453,-87.0646,50.31,88,100,10.36,light rain
131,Carnarvon,AU,-24.8667,113.6333,68.22,30,0,18.75,clear sky
132,Yantal,RU,56.8471,105.2542,31.75,96,100,6.98,overcast clouds
133,Bandar-E Lengeh,IR,26.5579,54.8807,84.78,75,0,16.11,clear sky
134,Narsaq,GL,60.9167,-46.05,46.62,92,100,7.34,light rain
135,Lomza,PL,53.1781,22.0593,52.93,83,63,5.77,broken clouds
136,Pangkalanbuun,ID,-2.6833,111.6167,77.92,86,97,3.53,overcast clouds
137,Margate,GB,51.3813,1.3862,52.7,76,48,8.01,scattered clouds
138,Mandurah,AU,-32.55,115.7,60.91,76,0,4.92,clear sky
139,Alyangula,AU,-13.8483,136.4192,84.96,64,20,11.5,few clouds
140,Beringovskiy,RU,63.05,179.3167,36.61,98,100,18.37,light rain
141,Santa Rosa,PH,14.3122,121.1114,85.1,81,100,4.92,overcast clouds
